id,popularity,revenue,cast
135397,32.985763,1513528810,Chris Pratt
76341,28.419936,378436354,Tom Hardy
262500,13.112507,295238201,Shailene Woodley
140607,11.173104,2068178225,Harrison Ford
168259,9.335014,1506249360,Vin Diesel
281957,9.1107,532950503,Leonardo DiCaprio
87101,8.654359,440603537,Arnold Schwarzenegger
286217,7.6674,595380321,Matt Damon
211672,7.404165,1156730962,Sandra Bullock
150540,6.326804,853708609,Amy Poehler
206647,6.200282,880674609,Daniel Craig
76757,6.189369,183987723,Mila Kunis
264660,6.118847,36869414,Domhnall Gleeson
257344,5.984995,243637091,Adam Sandler
99861,5.944927,1405035767,Robert Downey Jr.
273248,5.8984,155760117,Samuel L. Jackson
260346,5.749758,325771424,Liam Neeson
102899,5.573184,518602163,Paul Rudd
150689,5.556818,542351353,Lily James
131634,5.476958,650523427,Jennifer Lawrence
158852,5.462138,209035668,Britt Robertson
307081,5.337064,91709827,Jake Gyllenhaal
254128,4.907832,470490832,Dwayne Johnson
216015,4.710402,569651467,Dakota Johnson
318846,4.648046,133346506,Christian Bale
177677,4.566713,682330139,Tom Cruise
214756,4.564549,215863606,Mark Wahlberg
207703,4.503789,403802136,Taron Egerton
314365,4.062293,88346473,Mark Ruffalo
294254,3.968891,311256926,Dylan O'Brien
280996,3.927333,29355203,Ian McKellen
198184,3.899557,102069268,Sharlto Copley
254470,3.877764,287506194,Anna Kendrick
296098,3.64821,162610473,Tom Hanks
257445,3.644541,150170815,Jack Black
264644,3.557846,35401758,Brie Larson
339527,3.358321,22354572,Abbie Cornish
105864,3.339135,331926147,Raymond Ochoa
241554,3.23737,71561644,Liam Neeson
167073,3.227329,62076141,Saoirse Ronan
277216,3.202719,201634991,O'Shea Jackson Jr.
274854,3.080505,140396650,Vin Diesel
321697,3.079522,34441873,Michael Fassbender
203801,3.053421,108145109,Henry Cavill
293863,3.025852,42629776,Blake Lively
325348,3.023253,14333790,Sharlto Copley
228161,2.976436,368871007,Jim Parsons
286565,2.968254,85512300,Nat Wolff
265208,2.93234,0,Jason Statham
254320,2.885126,9064511,Colin Farrell
258480,2.883233,40272135,Cate Blanchett
257211,2.814802,194564672,Robert De Niro
253412,2.798017,203427584,Jason Clarke
274479,2.793297,101134059,Jennifer Lawrence
257088,2.614499,133718711,Edgar Ramírez
295964,2.584264,36606743,Bradley Cooper
238615,2.578919,30523226,Ryan Reynolds
210860,2.575711,30418560,Johnny Depp
306819,2.557859,64191523,Eddie Redmayne
201088,2.550747,17752940,Chris Hemsworth
273481,2.487849,84025816,Emily Blunt
166424,2.487042,167977596,Miles Teller
310131,2.46449,40423945,Anya Taylor-Joy
238713,2.404473,235666219,Melissa McCarthy
256591,2.395366,153962963,Will Smith
249070,2.354654,82347656,Rupert Friend
205775,2.345821,93820758,Chris Hemsworth
334074,2.331636,0,Pierce Brosnan
312221,2.331567,137935567,Michael B. Jordan
271718,2.31767,140795793,Amy Schumer
333352,2.29573,32848185,Helen Mirren
276907,2.28135,42972994,Tom Hardy
284289,2.272044,45895,Michael Douglas
