id,revenue,production_companies
135397,1513528810,Universal Studios
76341,378436354,Village Roadshow Pictures
262500,295238201,Summit Entertainment
140607,2068178225,Lucasfilm
168259,1506249360,Universal Pictures
281957,532950503,Regency Enterprises
87101,440603537,Paramount Pictures
286217,595380321,Twentieth Century Fox Film Corporation
211672,1156730962,Universal Pictures
150540,853708609,Walt Disney Pictures
206647,880674609,Columbia Pictures
76757,183987723,Village Roadshow Pictures
264660,36869414,DNA Films
257344,243637091,Columbia Pictures
99861,1405035767,Marvel Studios
273248,155760117,Double Feature Films
260346,325771424,Twentieth Century Fox Film Corporation
102899,518602163,Marvel Studios
150689,542351353,Walt Disney Pictures
131634,650523427,Studio Babelsberg
158852,209035668,Walt Disney Pictures
307081,91709827,Escape Artists
254128,470490832,New Line Cinema
216015,569651467,Focus Features
318846,133346506,Paramount Pictures
177677,682330139,Paramount Pictures
214756,215863606,Universal Pictures
207703,403802136,Twentieth Century Fox Film Corporation
314365,88346473,Participant Media
294254,311256926,Gotham Group
280996,29355203,BBC Films
198184,102069268,Columbia Pictures
254470,287506194,Universal Pictures
296098,162610473,DreamWorks SKG
257445,150170815,Columbia Pictures
264644,35401758,Element Pictures
339527,22354572,Eden Rock Media
105864,331926147,Walt Disney Pictures
241554,71561644,Vertigo Entertainment
167073,62076141,Wildgaze Films
277216,201634991,New Line Cinema
274854,140396650,Summit Entertainment
321697,34441873,Universal Pictures
203801,108145109,Davis Entertainment
293863,42629776,Lakeshore Entertainment
325348,14333790,Bazelevs Production
228161,368871007,Twentieth Century Fox Film Corporation
286565,85512300,Fox 2000 Pictures
265208,0,Current Entertainment
254320,9064511,Haut et Court
258480,40272135,Killer Films
257211,194564672,Waverly Films
253412,203427584,Universal Pictures
274479,101134059,Fox 2000 Pictures
257088,133718711,Studio Babelsberg
295964,36606743,Double Feature Films
238615,30523226,Endgame Entertainment
210860,30418560,Lionsgate
306819,64191523,Pretty Pictures
201088,17752940,Universal Pictures
273481,84025816,Lionsgate
166424,167977596,Twentieth Century Fox Film Corporation
