id,is_novel,revenue,popularity,vote_average,budget,release_year
135397,not novel,1513528810,32.985763,6.5,150000000,2015
76341,not novel,378436354,28.419936,7.1,150000000,2015
262500,novel,295238201,13.112507,6.3,110000000,2015
140607,not novel,2068178225,11.173104,7.5,200000000,2015
168259,not novel,1506249360,9.335014,7.3,190000000,2015
281957,novel,532950503,9.1107,7.2,135000000,2015
87101,not novel,440603537,8.654359,5.8,155000000,2015
286217,novel,595380321,7.6674,7.6,108000000,2015
211672,not novel,1156730962,7.404165,6.5,74000000,2015
150540,not novel,853708609,6.326804,8,175000000,2015
206647,novel,880674609,6.200282,6.2,245000000,2015
76757,not novel,183987723,6.189369,7.6,176000003,2015
257344,not novel,243637091,5.984995,5.8,88000000,2015
99861,not novel,1405035767,5.944927,7.4,280000000,2015
273248,not novel,155760117,5.8984,7.4,44000000,2015
260346,not novel,325771424,5.749758,6.1,48000000,2015
102899,not novel,518602163,5.573184,7,130000000,2015
150689,not novel,542351353,5.556818,6.8,95000000,2015
131634,not novel,650523427,5.476958,6.5,160000000,2015
158852,not novel,209035668,5.462138,6.2,190000000,2015
307081,not novel,91709827,5.337064,7.3,30000000,2015
254128,not novel,470490832,4.907832,6.1,110000000,2015
216015,not novel,569651467,4.710402,5.3,40000000,2015
318846,novel,133346506,4.648046,7.3,28000000,2015
177677,not novel,682330139,4.566713,7.1,150000000,2015
214756,not novel,215863606,4.564549,6.3,68000000,2015
207703,not novel,403802136,4.503789,7.6,81000000,2015
314365,not novel,88346473,4.062293,7.8,20000000,2015
294254,not novel,311256926,3.968891,6.4,61000000,2015
280996,novel,29355203,3.927333,6.4,0,2015
198184,not novel,102069268,3.899557,6.6,49000000,2015
254470,not novel,287506194,3.877764,6.8,29000000,2015
296098,not novel,162610473,3.64821,7.1,40000000,2015
257445,not novel,150170815,3.644541,6.2,58000000,2015
264644,novel,35401758,3.557846,8,6000000,2015
339527,novel,22354572,3.358321,6.2,0,2015
105864,not novel,331926147,3.339135,6.6,175000000,2015
241554,not novel,71561644,3.23737,6.3,50000000,2015
167073,not novel,62076141,3.227329,7.3,11000000,2015
277216,novel,201634991,3.202719,7.7,28000000,2015
274854,not novel,140396650,3.080505,5.6,90000000,2015
321697,not novel,34441873,3.079522,6.9,30000000,2015
203801,not novel,108145109,3.053421,7,75000000,2015
293863,not novel,42629776,3.025852,7.3,25000000,2015
325348,not novel,14333790,3.023253,5.9,10000000,2015
228161,not novel,368871007,2.976436,6.9,135000000,2015
286565,not novel,85512300,2.968254,6.2,12000000,2015
265208,not novel,0,2.93234,5.3,30000000,2015
254320,not novel,9064511,2.885126,6.6,4000000,2015
258480,not novel,40272135,2.883233,7.1,11800000,2015
257211,not novel,194564672,2.814802,7.1,35000000,2015
253412,not novel,203427584,2.798017,6.7,55000000,2015
274479,not novel,101134059,2.793297,6.4,60000000,2015
257088,not novel,133718711,2.614499,5.5,105000000,2015
295964,not novel,36606743,2.584264,6.3,20000000,2015
238615,not novel,30523226,2.578919,6.2,26000000,2015
210860,not novel,30418560,2.575711,5.3,60000000,2015
306819,novel,64191523,2.557859,7.3,15000000,2015
201088,not novel,17752940,2.550747,5,70000000,2015
273481,not novel,84025816,2.487849,7.1,30000000,2015
166424,not novel,167977596,2.487042,4.4,120000001,2015
310131,not novel,40423945,2.46449,5.8,3500000,2015
238713,not novel,235666219,2.404473,6.9,65000000,2015
256591,not novel,153962963,2.395366,6.7,50100000,2015
249070,not novel,82347656,2.354654,5.5,35000000,2015
205775,not novel,93820758,2.345821,6.4,100000000,2015
334074,not novel,0,2.331636,5.4,20000000,2015
312221,not novel,137935567,2.331567,7.3,35000000,2015
271718,not novel,140795793,2.31767,6.1,35000000,2015
333352,not novel,32848185,2.29573,7.2,13000000,2015
276907,not novel,42972994,2.28135,6.7,25000000,2015
284289,not novel,45895,2.272044,5.5,0,2015
266647,not novel,128388320,2.234573,5.9,150000000,2015
347096,not novel,0,2.165433,5.1,0,2015
