id,popularity,revenue,keywords
135397,32.985763,1513528810,monster
76341,28.419936,378436354,future
262500,13.112507,295238201,based on novel
140607,11.173104,2068178225,android
168259,9.335014,1506249360,car race
281957,9.1107,532950503,father-son relationship
87101,8.654359,440603537,saving the world
286217,7.6674,595380321,based on novel
211672,7.404165,1156730962,assistant
150540,6.326804,853708609,dream
206647,6.200282,880674609,spy
76757,6.189369,183987723,jupiter
264660,6.118847,36869414,dancing
257344,5.984995,243637091,video game
99861,5.944927,1405035767,marvel comic
273248,5.8984,155760117,bounty hunter
260346,5.749758,325771424,revenge
102899,5.573184,518602163,marvel comic
150689,5.556818,542351353,cinderella
131634,5.476958,650523427,revolution
158852,5.462138,209035668,inventor
307081,5.337064,91709827,sport
254128,4.907832,470490832,california
216015,4.710402,569651467,based on novel
318846,4.648046,133346506,bank
177677,4.566713,682330139,spy
214756,4.564549,215863606,sperm bank
207703,4.503789,403802136,spy
314365,4.062293,88346473,child abuse
294254,3.968891,311256926,based on novel
280996,3.927333,29355203,london
198184,3.899557,102069268,artificial intelligence
254470,3.877764,287506194,music
296098,3.64821,162610473,spy
257445,3.644541,150170815,based on novel
264644,3.557846,35401758,based on novel
339527,3.358321,22354572,thriller
105864,3.339135,331926147,tyrannosaurus rex
241554,3.23737,71561644,hitman
167073,3.227329,62076141,love triangle
277216,3.202719,201634991,brother brother relationship
274854,3.080505,140396650,new york
321697,3.079522,34441873,biography
203801,3.053421,108145109,spy
293863,3.025852,42629776,san francisco
325348,3.023253,14333790,female nudity
228161,2.976436,368871007,friendship
286565,2.968254,85512300,friendship
265208,2.93234,0,gambling
254320,2.885126,9064511,dystopia
258480,2.883233,40272135,gay
257211,2.814802,194564672,intern
253412,2.798017,203427584,mountains
274479,2.793297,101134059,biography
257088,2.614499,133718711,undercover
295964,2.584264,36606743,london
238615,2.578919,30523226,lie
210860,2.575711,30418560,based on novel
306819,2.557859,64191523,paris
201088,2.550747,17752940,terrorist
273481,2.487849,84025816,mexico
166424,2.487042,167977596,teleportation
310131,2.46449,40423945,witch
238713,2.404473,235666219,spy
256591,2.395366,153962963,seduction
249070,2.354654,82347656,assassin
205775,2.345821,93820758,suicide
334074,2.331636,0,new year's eve
312221,2.331567,137935567,underdog
271718,2.31767,140795793,alcohol
333352,2.29573,32848185,terrorist
276907,2.28135,42972994,biography
284289,2.272044,45895,desert
266647,2.234573,128388320,flying
347096,2.165433,0,sword
308369,2.141506,0,tattoo
227973,2.140199,246233113,based on comic strip
321741,2.121884,48623572,american football
296100,2.096273,52395996,male friendship
263472,2.080935,5214043,female nudity
228205,2.070708,63013281,based on novel
159824,2.060162,466183544,transylvania
333348,2.055572,24000000,big family
285783,2.049886,61181942,1970s
290764,2.026651,1863315,chinese mafia
296099,2.000338,104384188,route 66
243688,1.984529,95437994,poltergeist
287424,1.980039,187112,post-apocalyptic
301875,1.959765,2000000,illustrator
181283,1.95632,3324330,murder
328425,1.926739,58978653,detective
274167,1.904898,240360392,daddys home
370687,1.876037,0,sword
307663,1.872696,0,artificial intelligence
309809,1.865007,97571250,philosophy
258509,1.841779,233755553,chipmunk
298382,1.82313,18340000,based on novel
272693,1.758618,43528634,high school
283445,1.742286,52882018,haunted house
256961,1.73518,107597242,shopping mall
326359,1.724712,0,sister sister relationship
254302,1.661789,0,skyscraper
241251,1.651078,50163103,male nudity
292040,1.646664,0,corruption
188222,1.532997,49263404,friendship
252838,1.510096,79799880,male friendship
273477,1.499614,14860766,female nudity
298312,1.495112,98450062,rap
261023,1.483246,99775678,boston
336004,1.449072,50136,casino
287903,1.448002,61548707,fire
182560,1.443406,208588,prison
192141,1.41239,54418872,coup
308639,1.40805,17986781,california
261392,1.388251,28208085,memory loss
304357,1.388032,61619773,nazis
297291,1.38032,0,magic
266294,1.376605,105011053,sister sister relationship
227719,1.360926,32248241,time travel
86828,1.360827,5189646,london
287948,1.355822,72629670,transporter
201085,1.345982,74679822,haunted house
277355,1.342839,0,assassin
264999,1.338481,122413057,male friendship
146301,1.338322,78099553,terror
223485,1.329702,229094,fire
294016,1.316239,8235661,screenwriter
290751,1.315266,32189727,fbi
309245,1.29314,2500431,comedy
228165,1.291013,311594032,ocean
272878,1.278928,43967255,afghanistan
263109,1.25358,59700000,countryside
157827,1.251681,0,usa
321751,1.245224,1702433,road movie
266396,1.225325,10664749,assassin
277685,1.191138,62882090,computer
268920,1.178831,51680201,texas
280092,1.164724,104303851,sequel
193687,1.161812,118483,love triangle
300803,1.144808,0,magic
328589,1.142518,41387687,based on novel
228066,1.138395,34227298,london
378373,1.128081,0,eagle
291270,1.125239,3759286,sex
294963,1.073349,0,poison
241257,1.065888,17671101,investigation
245698,1.063055,0,chess
353326,1.046518,11472454,england
250124,1.03839,1477002,1970s
290637,1.036825,0,halloween
244458,1.02762,0,violence
308504,1.021441,3643591,loyalty
157843,0.973316,0,middle east
275601,0.956096,41325328,homophobia
290762,0.953647,0,female friendship
251516,0.953046,0,video game
324807,0.938432,1936524,italy
252512,0.93762,7587485,marriage
257091,0.927339,106511453,prison
347969,0.913085,0,wild west
237756,0.90686,0,assassin
293646,0.906036,24902723,mining
245168,0.898296,16002420,london
311291,0.894477,0,secret
301351,0.880938,11122090,dj
248574,0.880268,6075,assassin
225728,0.874641,13192457,scotland
326425,0.872149,16775,terrorist
342474,0.861179,0,woman director
277217,0.848748,0,fairy tale
207936,0.843174,0,widow
250734,0.842202,30229977,sheep
268238,0.832487,85978266,old people's home
322456,0.821443,0,dc comics
222936,0.814206,26250020,hawaii
316002,0.813893,0,one-night stand
365806,0.810667,0,video game
10317,0.795762,7002261,political campaign
334538,0.792471,0,female nudity
306947,0.787969,231737,psychological thriller
382517,0.773909,0,bear
310133,0.77107,134552,sheriff
288036,0.758133,3214116,sex
331781,0.738404,8413144,jazz
253161,0.7299,0,period piece
312831,0.719407,0,baby
316322,0.714131,0,barbie
301846,0.707355,0,england
306745,0.706023,573335,new jersey
332340,0.70137,0,bowling
292431,0.699932,695269,paris
300693,0.69957,2541554,document
333381,0.696184,0,date
256924,0.690479,10835752,rock star
253414,0.689579,3020664,jealousy
254172,0.689571,0,widow
320588,0.673792,14444999,dating
157544,0.669351,1784763,exorcism
283235,0.661471,1411927,florida
243938,0.661163,12314651,time travel
86835,0.654335,0,celebrity
309242,0.649628,0,poker
332502,0.644786,0,spacecraft
286192,0.640151,0,pixar animated short
338676,0.606113,0,mutant
232572,0.602165,35991087,hiking
112454,0.599751,0,clown
243940,0.599655,64110728,terror
321528,0.589472,0,gotham city
317744,0.586735,0,woman director
300792,0.584363,0,animal species
239573,0.577814,14431253,europe
167810,0.570744,45431,underworld
334527,0.560744,0,mobster
300153,0.560423,0,james dean
228203,0.553238,45710059,california
278236,0.547827,0,child prodigy
276839,0.546458,0,wife
326215,0.542568,0,adventure
318256,0.532239,0,porno star
299245,0.532205,42664410,gallows
333344,0.52985,0,sex
357096,0.527957,0,male nudity
309299,0.526642,0,experiment
314385,0.524315,3334927,france
333596,0.52025,0,sport
361042,0.516954,0,monster
353686,0.515401,0,horror
318954,0.514735,1236094,mercenary
289191,0.513386,0,prostitute
252164,0.504828,0,survival
360784,0.502489,0,helicopter
336313,0.497265,157768,orpheus
240483,0.486351,0,invasion
321494,0.482422,0,martial arts
264337,0.475473,0,m.i.t.
289716,0.474788,0,appalachia
296065,0.474626,0,mask
337029,0.473344,0,frankenstein
317952,0.471393,0,mexico
325358,0.471091,0,spoof
340275,0.470124,0,chicago
309887,0.467556,0,louisiana
302429,0.465707,13603453,elves
253331,0.46209,21571189,grieving widower
293771,0.459597,0,chain saw
323373,0.454151,0,new zealand
323027,0.452939,0,dc comics
297806,0.450872,1646788,country music
253626,0.45016,316472,pilot
354251,0.444265,0,anthology
355338,0.442835,0,mother daughter relationship
271736,0.442427,3286448,biography
293970,0.441882,0,virgin
364067,0.439598,0,woman director
318922,0.438409,0,magazine
266639,0.435582,2333684,secret identity
274504,0.433073,0,based on novel
244316,0.429892,0,grizzly bear
352208,0.427116,0,germany
283587,0.424813,90777,africa
311539,0.423161,0,santa claus
363483,0.417191,0,christmas
354220,0.370258,0,serial killer
283596,0.412877,0,based on novel
250225,0.412503,0,sadomasochism
307479,0.409698,0,diner
339145,0.405095,0,woman director
308638,0.402236,771317,high school reunion
327528,0.396791,830129,jazz
306964,0.393642,0,witch
362185,0.391326,0,hostage
94365,0.386529,0,exploitation
291272,0.382997,0,terror
324963,0.71289,0,school
342927,0.378836,0,monster
361159,0.37668,0,louisiana
351964,0.374853,0,father-son relationship
362057,0.372889,0,child abuse
137333,0.371145,0,dark
57876,0.369529,0,found footage
339533,0.369108,0,earthquake
308457,0.367617,0,identity
306482,0.367434,0,birthday
245846,0.365901,17472,australia
330112,0.329164,0,cia
322766,0.359826,0,murder
361931,0.357654,0,biography
318224,0.357614,0,cult
309503,0.357567,0,woman director
348811,0.356519,0,world war ii
310135,0.354624,0,post-apocalyptic
355111,0.350858,0,princess
335866,0.350599,0,survival
335970,0.347797,0,white trash
366142,0.344994,0,minions
310121,0.344549,7449681,widow
324308,0.574031,494506,technology
326923,0.339297,0,babysitter
356842,0.511431,0,baby
339530,0.336453,0,africa
331190,0.336107,2801508,hostage
395883,0.333656,0,maze
356300,0.332921,0,small town
218784,0.330968,70958,small town
310137,0.330484,0,van
342917,0.329776,0,dc comics
296130,0.327066,0,cosmonaut
327418,0.32705,0,super powers
328869,0.324515,0,disappearance
329829,0.390188,0,gay
330544,0.322653,0,blues music
299551,0.32264,0,experiment
207270,0.30035,0,new york
318279,0.314199,2334228,himalaya
284286,0.307395,3447633,woman director
340816,0.305916,0,photographer
206197,0.302474,0,witch
331446,0.301343,0,florida
351901,0.300128,0,cat and mouse
357681,0.198522,0,fighter
333657,0.299427,4444,new york
336845,0.298861,0,based on true story
343795,0.298751,4842699,hospital
294562,0.298628,0,monster
306197,0.295946,0,woman director
297556,0.404363,0,superhero team
316885,0.291244,0,suicide
228973,0.290424,0,camping
323967,0.289526,0,god
359305,0.309811,0,woman director
329004,0.286266,0,male nudity
330127,0.278583,0,interview
323694,0.277844,0,sex
334028,0.277613,0,suicide
354924,0.277035,0,new zealand
253406,0.264997,0,woman director
291865,0.261932,0,terror
334531,0.261717,0,american football
324803,0.260045,0,found footage
309304,0.259794,7087452,road trip
339342,0.097514,0,tattoo
306966,0.256542,0,europe
226458,0.256286,0,possession
339148,0.255458,0,hong kong
340968,0.249595,0,mayor
347754,0.248964,0,hitchhiker
317144,0.247595,0,stalking
338928,0.247426,2642899,education
291189,0.246609,0,criminal
309425,0.245948,0,christian
287689,0.24495,0,tennis
325189,0.243691,0,high school
298582,0.243321,0,dancing
301228,0.242078,0,drug
343934,0.242,0,summer
282313,0.154846,0,genetics
300542,0.236709,0,independent film
318044,0.22758,0,voice
316715,0.224797,0,press
279144,0.221502,0,interview
358895,0.219603,30400,drug use
323370,0.21789,0,parapsychology
337958,0.355707,0,suicide
333674,0.217288,0,agoraphobia
301728,0.215864,0,mind control
366018,0.215386,0,christmas
256030,0.214563,0,female nudity
356149,0.212872,0,based on true story
300666,0.21254,0,father-son relationship
373558,0.209036,0,pop culture
329205,0.230913,0,ukraine
321769,0.207133,0,internet
251471,0.206155,0,pop culture
174340,0.205318,0,comedian
309298,0.204356,0,pastor
285840,0.203224,0,male nudity
321109,0.201696,0,manipulation
341886,0.260306,0,exorcism
311615,0.198261,0,defy media
333873,0.197788,0,behind the scenes
293941,0.195324,0,woman director
360203,0.253157,0,robbery
294132,0.193323,104507,love triangle
301629,0.193063,0,sister sister relationship
331592,0.19254,0,secret
342464,0.191534,0,woman director
316410,0.334085,0,sex
106845,0.13631,0,reality tv
323966,0.179636,0,hitman
354857,0.087904,0,time travel
333653,0.176744,0,woman director
75861,0.253949,0,depression
323272,0.731022,67790117,christian
343921,0.168354,0,baby
361671,0.129455,0,art
346494,0.16414,0,suicide attempt
321974,0.162526,0,biography
359255,0.158021,0,haunted house
355178,0.157172,0,sex
310491,0.156851,0,dysfunctional family
319096,0.154161,0,biography
360341,0.150713,0,keith richards
329556,0.14964,0,rape
241927,0.14811,0,canada
321668,0.145945,0,bloodthirstiness
315024,0.145489,0,tyrannosaurus rex
323674,0.270378,0,relationship problems
324253,0.143042,0,record industry
395560,0.142759,0,space
308084,0.266117,0,taxi
268725,0.139527,0,suicide
308361,0.139356,0,stockholm syndrome
327029,0.138353,0,tokusatsu
249916,0.138068,0,female nudity
339065,0.137772,0,factory worker
244563,0.137133,0,japan
325113,0.129104,0,teenage girl
